Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
JP2015520251A,JP,2015-07-16,光開始剤を有する硫黄含有ポリマーを基礎とする母材及びシーラント、硬化及び被覆する方法並びにその使用,本発明は、硬化を、指令によりかつシーラントの不粘着表面が硬化開始時点から０．０５〜５分の不粘着時間で達成されるように急速に行う、硫黄含有ポリマーを基礎とする母材及び硬化剤からなる混合物の硬化方法、並びに硫黄含有ポリマーを有するシーラントの製造及び硬化のための母材及び硬化剤からなる混合物を用いた基材の被覆方法であって、混合物は、イソシアナート含分を有する未硬化の混合物であり、母材は未硬化でありかつ、ポリエーテル、ポリチオエーテル、ポリスルフィド、それらのコポリマー及び／又はそれらの混合物を基礎とするメルカプト末端基のベースポリマーを有し、未硬化の母材、硬化剤又はその両方は、立体障害の第３級アミンを基礎とする少なくとも１つの光開始剤を有し、少なくとも１つの光開始剤は高エネルギーの化学線の作用の際に、第３級アミンを基礎とする１分子当たり少なくとも１つのラジカルを脱離し、このラジカルから、特にＨ引き抜きにより活性触媒が形成され、この活性触媒は、シーラントの硬化のための触媒として作用することができ、この混合物は、高エネルギーの化学線の作用時点から−１０〜＋７０℃の温度範囲で硬化し、この混合物は硬化開始時点からシーラントといわれる、基材の被覆方法に関する。本発明は、更に、相応する母材Ａ、混合物Ｂ、硬化剤及びシーラント系並びにこれらを有する航空機にも関する。,Miroslav kralev; Bian Zie Firth; Peter Bons; Francisco Dies,Chemetall GmbH,2013-04-09
JP2015531228A,JP,2015-11-02,森林管理システム,森林（２０６）を管理するための方法及び装置が提供される。森林管理システム（１００）は、森林マネージャー（２０２）を備える。森林マネージャー（２０２）は、一群の自律したビークル（２２６）から森林（２０６）についての情報（２２０）を受信し、情報（２２０）から森林（２０６）の状態（３０４）についての結果（３０２）を発生させるために情報（２２０）を分析し、かつ結果（３０２）を使用して前記一群の自律したビークル（２２６）の作動を調整するように構成される。【選択図】図１,"Vian, john; Lowe, George M.; Prusch Vulco, Joshua",The Boeing Company,2013-08-09
JP6461795B2,JP,2019-01-30,森林管理システム,"A method and apparatus of managing a forest. A forestry management system comprises a forestry manager. The forestry manager is configured to receive information about a forest from a group of autonomous vehicles, analyze the information to generate a result about a state of the forest from the information, and coordinate operation of the group of autonomous vehicles using the result.","Vian, john; Lowe, George M.; Prusch Vulco, Joshua",The Boeing Company,2013-08-09
JP6430885B2,JP,2018-11-28,新規な往復動機械およびその他の装置,,"Hindarks, Mitoja, Victor","Hindarks, Mitoja, Victor",2015-04-24
JPWO2019083030A1,JP,2020-12-17,カーボンナノチューブ被覆電線およびその施工方法、識別マークの検出方法,識別性に優れたカーボンナノチューブ被覆電線を提供する。複数のカーボンナノチューブで構成されるカーボンナノチューブ集合体の単数または複数からなるカーボンナノチューブ線材と、カーボンナノチューブ線材を被覆する絶縁被覆層とを備え、絶縁被覆層は、識別マークを有する、カーボンナノチューブ被覆電線。,Hideki Aizawa; Satoshi Yamazaki; Tomohisa Yamashita; Kenji Hatamoto,"THE FURUKAW ELECTRIC CO.,LTD.",2018-10-26
JP5165737B2,JP,2013-03-21,火炎抑制システムおよび航空機用火炎抑制システム,"A fire suppression system (20) includes a container (22) for supplying a fire suppression agent into a compartment (A, B, C) to be protected. The container (22) communicates with a flow line (25) leading to the compartment (A ,B, C). A control (34) controls the fire suppression system, and a valve (30) on the flow line (25) delivers a variable pressure to the flow line (25) from the container (22). Further, a system is disclosed and claimed wherein a single gas supply communicates through a manifold (23) to each of a plurality of compartments (A, B, C). In addition, a system is disclosed and claimed wherein a primary gas supply container (22) switches to secondary gas supply containers (24) once a pressure within the primary gas supply (22) container drops below a predetermined amount.",Josephine Gabriel Gatosonides; Robert G. Dunster,"Kidda Technologies, Inc.",2010-08-17
JP7189882B2,JP,2022-12-14,カーボンナノチューブ被覆電線およびその施工方法、識別マークの検出方法,"Provided is a coated carbon nanotube electric wire superior in identifiability. The coated carbon nanotube electric wire includes: a carbon nanotube wire including one or a plurality of carbon nanotube aggregates formed by a plurality of carbon nanotubes; and an insulating coating layer coating the carbon nanotube wire, wherein the insulating coating layer has an identification mark.",Hideki Aizawa; Yamazaki Satoshi; Satoshi Yamashita; Kenji Hatamoto,"THE FURUKAW ELECTRIC CO.,LTD.",2018-10-26
JP7173680B2,JP,2022-11-16,軟質ポリウレタンフォーム用の反応性難燃剤混合物,"The present invention provides dialkyl phosphorus-containing compounds, namely reactive mono-hydroxyl-functional dialkyl phosphinates in a blend with a phosphate compound, said blend serving as highly efficient reactive flame retardant blend in flexible polyurethane foam. The invention further provides fire-retarded polyurethane compositions comprising said the reaction product of the flame retardant blend with polyol and isocyanate foam forming components.","Swell, Jeffrey; Chen, Jihao; Patel, Munjar","ICL-IP America, Inc.; ICL-IP AMERICA INC.",2018-07-23
JP6882160B2,JP,2021-06-02,植物脂質から工業製品を製造する工程,"The present invention relates to methods of producing industrial products from plant lipids, particularly from vegetative parts of plants. In particular, the present invention provides oil products such as biodiesel and synthetic diesel and processes for producing these, as well as plants having an increased level of one or more non-polar lipids such as triacylglycerols and an increased total non-polar lipid content. In one particular embodiment, the present invention relates to combinations of modifications in two or more of lipid handling enzymes, oil body proteins, decreased lipid catabolic enzymes and/or transcription factors regulating lipid biosynthesis to increase the level of one or more non-polar lipids and/or the total non-polar lipid content and/or mono-unsaturated fatty acid content in plants or any part thereof. In an embodiment, the present invention relates to a process for extracting lipids. In another embodiment, the lipid is converted to one or more hydrocarbon products in harvested plant vegetative parts to produce alkyl esters of the fatty acids which are suitable for use as a renewable biodiesel fuel.",Thomas Van Haake; James Robertson Petrie; Anna El Turchy; Slinder Pal Singh; Kyle Reynolds; Kin Liu; Benjamin Aldo Reita,COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,2015-07-07
JP2017529060A,JP,2017-10-05,植物脂質から工業製品を製造する工程,本発明は、植物脂質、特に植物の生育部分から工業製品を製造する方法に関する。特に、本発明は、バイオディーゼル及び合成ディーゼルなどの油製品、ならびにこれらを製造する工程に加え、トリアシルグリセロール等の１つ以上の非極性脂質レベルの増加した植物、及び非極性脂質の総含有量の増加した植物を提供する。特定の一実施形態では、本発明は、植物またはその任意の部分において、１つ以上の非極性脂質のレベル及び／または非極性脂質の総含有量及び／または一価不飽和脂肪酸含有量を増加させる、２つ以上の脂質処理酵素、油体タンパク質、低脂質分解酵素及び／または脂質生合成を調節する転写因子の改変の組み合わせに関する。一実施形態では、本発明は脂質の抽出工程に関する。別の実施形態では、採取された植物生育部分において、脂質を１つ以上の炭化水素生成物へと転換し、再生可能バイオディーゼル燃料としての用途に適した脂肪酸のアルキルエステルを製造する。,Thomas Van Haake; James Robertson Petrie; Anna El Turchy; Slinder Pal Singh; Kyle Reynolds; Kin Liu; Benjamin Aldo Reita,COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,2015-07-07
JP7182602B2,JP,2022-12-02,軟質ポリウレタンフォーム用の反応性難燃剤,"The present invention provides dialkyl phosphorus-containing compounds, namely reactive mono-hydroxyl-functional dialkyl phosphinates, serving as highly efficient reactive flame retardants in flexible polyurethane foams. The invention further provides fire-retarded polyurethane compositions comprising said the reaction product of the mono-hydroxyl-functional dialkyl phosphinates with polyol and isocyanate foam forming components.","Andrew Piotrowski; Jillber man, joseph; Swell, Jeffrey; Germont,mark; Shin, Mayank; Chen, Jihao; Graz, Elan","ICL-IP America, Inc.; ICL-IP AMERICA INC.",2018-07-23
JP6752219B2,JP,2020-09-09,冷却フィンを備えたケーシングを有するガスタービンエンジン,"The gas turbine engine (3) comprises a compressor section (9) configured for compressing combustion air, a combustor section (15) and a turbine section (21). The turbine section (21) comprises a turbine rotor (41) with a bladed wheel (43) rotating around a turbine rotation axis (A-A), an exhaust gas diffuser (65), and a casing (52) having an inner surface and an outer surface. The casing (52) further comprises a plurality of cooling fins (75) located on the outer surface thereof.","Lombardy, Luka; Mavrie, Lajesh; Lady, Vishnu Barhan",Nuovo Pignone Tecnologie S.R.L.,2016-04-22
JP2014516859A,JP,2014-07-17,ヘリコプタ,"A composite structure forming a load bearing composite shell for a helicopter, with a shell which defines the exterior of a fuselage and includes a central fuselage section and tail boom, a fuselage which is adapted house an engine or drive train, a layered composite crashworthy seat and support structure and a fastening and a method of fastening by providing an adhesive between two layers which is allowed to flow through opposing holes in the layers to provide a chemical and mechanical attachment between the layers.","Maloney, Peter; Heatray, Nina",Composite Helicopter Holdings Limited,2012-06-07
JP2010538642A,JP,2010-12-16,生物油ならびにその生産および使用,"The present invention provides biological oils and methods and uses thereof. The biological oils are preferably produced by heterotrophic fermentation of one or more microorganisms using cellulose-containing feedstock as a main source of carbon. The present invention also provides methods of producing lipid-based biofuels and food, nutritional, and pharmaceutical products using the biological oils.",Rip Myr James Cayce; Pfeiffer Third Joseph W.; Hansen John Milton; Apto Kirk E.; Berkeley William Robert; Burrens Paul Warren; Martin david christian,Martech Biosciences Corporation,2008-09-08
JP2018516330A,JP,2018-06-21,冷却フィンを備えたケーシングを有するガスタービンエンジン,ガスタービンエンジン（３）が、燃焼空気を圧縮するように構成された圧縮機セクション（９）と、燃焼器セクション（１５）と、タービンセクション（２１）とを備える。タービンセクション（２１）は、タービン回転軸線（Ａ−Ａ）を中心に回転するブレード付きホイール（４３）を有するタービンロータ（４１）と、排気ガスディフューザ（６５）と、内面および外面を有するケーシング（５２）とを備える。ケーシング（５２）は、その外面に配置された複数の冷却フィン（７５）をさらに備える。【選択図】図３,"Lombardy, Luka; Mavrie, Lajesh; Lady, Vishnu Barhan",Nuovo Pignone Tecnologie S.R.L.,2016-04-22
JPH09503159A,JP,1997-03-31,【発明の名称】スプレイノズル及びその製造方法,"A method of forming an atomizing spray nozzle (42) includes the steps of etching a swirl chamber (56) and a spray orifice (44) in a thin sheet of material (46). The swirl chamber (56) is etched in a first side of the disk (46) and the spray orifice (44) is etched through a second side to the center of the swirl chamber (56). Feed slots (58-64) are etched in the first side of the disk (46) extending non-radially to the swirl chamber (56) such that liquid can be conveyed to the swirl chamber (56) so as to create and sustain the swirling motion. An inlet piece (40) with inlet passage (88-90) therein is connected with first side of the disk (46) so as to convey liquid to the feed slots (58-64) of the disk (46) and to enclose the feed slots (58-64) and swirl chamber (56). In addition to the method described an atomizing spray nozzle (42) having the configuration described is much improved in its spray characteristics. The present invention also provides a method of forming a number of spray nozzles simultaneously in a single manufacturing process, ","Simons, harold sea; Harvey, Lexus Jay",GENERAL ELECTRIC COMPANY,1994-09-28
JP3289913B2,JP,2002-06-10,【発明の名称】スプレイノズル及びその製造方法,"A method of forming an atomizing spray nozzle (42) includes the steps of etching a swirl chamber (56) and a spray orifice (44) in a thin sheet of material (46). The swirl chamber (56) is etched in a first side of the disk (46) and the spray orifice (44) is etched through a second side to the center of the swirl chamber (56). Feed slots (58-64) are etched in the first side of the disk (46) extending non-radially to the swirl chamber (56) such that liquid can be conveyed to the swirl chamber (56) so as to create and sustain the swirling motion. An inlet piece (40) with inlet passage (88-90) therein is connected with first side of the disk (46) so as to convey liquid to the feed slots (58-64) of the disk (46) and to enclose the feed slots (58-64) and swirl chamber (56). In addition to the method described an atomizing spray nozzle (42) having the configuration described is much improved in its spray characteristics. The present invention also provides a method of forming a number of spray nozzles simultaneously in a single manufacturing process, ","Simons, harold sea; Harvey, Lexus Jay",GENERAL ELECTRIC COMPANY,1994-09-28
JP2023530059A,JP,2023-07-13,プロセス及び装置,本発明は、１つ以上の有用な生成物を製造するためのプロセスに関し、廃棄物及び／又はバイオマスを含む炭素質供給原料をガス化ゾーンでガス化して、原料合成ガスを生成する工程；任意選択で、部分酸化ゾーンで前記原料合成ガスを部分酸化して、部分酸化された原料合成ガスを生成する工程；任意に部分酸化された、原料合成ガスの少なくとも一部を浄化ゾーンに供給して、汚染物質を除去し、清浄な合成ガスを提供する工程；任意選択で、水素対一酸化炭素比シフトゾーンで清浄な合成ガスの水素対一酸化炭素比をシフトして、シフトされた清浄な合成ガスを生成する工程；任意にシフトされた、清浄な合成ガスを第１の更なる反応トレインに供給して、少なくとも１つの第１の有用な生成物及びテールガスを生成する工程；任意選択で、前記第１の有用な生成物を第２の更なる反応トレインでアップグレードして、第２の有用な生成物及び軽質ガス留分を生成する工程；並びに外部要因に応じて、前記プロセス全体の炭素強度を制御し、ＧＨＧ排出量の削減を可能にするために、当該プロセス内で、要求に応じて選択的に、炭素質供給原料、清浄な合成ガス、テールガス、及び軽質ガス留分のうちの少なくとも１つの一部を、発熱又は発電に方向転換する工程、を含むプロセスに関する。【選択図】図１,"Grieger, Ivan Phillip; Harris, Roger Allen; King, Neal Alexander; Deshmukh, Sumitra Earl.; Chu, Juyan",Velocies Technologies Limited,2021-05-10
JP2014510228A,JP,2014-04-24,タービンエンジンの回転失速を解消する方法,"A method for eliminating rotational stall in a compressor of a turbine engine, includes automatically detecting surge in the turbine engine; automatically shutting-down the turbine engine; in the event surge is detected, automatically restoring a surge margin; and automatically re-igniting the turbine machine.","Jeratsushi, Sedorsk",SNECMA,2012-02-28
JP2012523979A,JP,2012-10-11,航空機のウィングボックスから発した気体及び/または液体が当該航空機の機体胴体部の中へ侵入することを防止する装置,"A device is disclosed for preventing gases and/or fluids emanating from a wing box of an aircraft from passing to an aircraft fuselage cell situated underneath it. The device comprises at least one sheet-like material positioned below or above the wing box. The sheet-like material is preferably made of a woven fabric comprising aramid fibers or the like, which fabric in order to ensure the required seal vis-à-vis liquid and/or gaseous substances, in particular vis-à-vis fuels, has been impregnated or soaked with an epichlorohydrin elastomer compound or with some other elastomer, for example a rubber compound or the like.","Bogiazis, Christos",Airbus Operations Gezelshaft Mitt Beschlenktel Haftung,2010-04-15
JP6831359B2,JP,2021-02-17,生物学的原材料から得られたパラフィンフラクションを含む組成物及びそれを製造する方法,"A composition, including 40-50 wt-% C14 paraffins, based on the total weight of the composition, and 35-45 wt-% C15 paraffins, based on the total weight of the composition, wherein the C14 and C15 paraffins are produced from a biological raw material.","Aalto, Pekka; Sand Bali, Katy; Neiman, Tomi; Hakora, maya","Neste Yurkinen, Salmon, Yukitua",2018-10-31
JP2013510997A,JP,2013-03-28,発電のための方法及び太陽電池式の風力発電装置,"The invention relates to the field of producing electric power by artificially creating an air stream incident on a power-generating module (turbine) using solar-powered batteries. The power-generating module turns, compresses the air stream and directs the latter onto the working surface of a blade-less rotor. The rotor is designed such that a reactive effect is created on the working surfaces thereof, which improves the turbine characteristics. In the proposed method for producing power, use is made of the kinetic and potential energy of the air stream, and also the moment of inertia of the installation and solar-powered batteries. The efficiency of the method reaches 50%, while traditional fuel is economized on and emissions of CO 2  into the atmosphere are reduced.","Urs, AEON Jorgevich; Potapov, Yury Semenovich",Alternative Energy Research Company Limited,2010-08-26
JP5857095B2,JP,2016-02-10,モリブデンベースの触媒を用いることにより再生可能な起源の流出物を優れた品質の燃料に転化する方法,"Supported or bulk catalyst (I) with an active phase comprising a Group VIB sulfide, in which the Group VIB element is molybdenum and the catalyst is in the sulfide form. An independent claim is also included for a method for the hydro-deoxygenation of charges obtained from renewable sources with decarboxylation/decarbonylation limited to not more than 10%, using the above catalyst (I) at 120-450[deg] C and 1-10 MPa with an hourly space velocity of 0.1-10 h -> 1>, in presence of a total amount of hydrogen (mixed in the charge) equal to 50-3000 Nm 3> hydrogen/m 3> of charge.",Antoine Dodane; Roland Brunet; Thierry Chapus,IFP ENERGIES NOUVELLES,2014-07-10
JP2021535028A,JP,2021-12-16,発射システム,少なくとも１つの実施例によれば、キャリア飛行体および少なくとも１つのペイロード飛行体を含む、発射システムが提供される。ペイロード飛行体は、ペイロード飛行体に所望の高度における設計亜音速巡航速度での空力動力飛行を提供するように設計されているペイロード推進システムおよび空力揚力面を含む。キャリア飛行体は、少なくとも１つのペイロード飛行体を少なくとも所望の高度まで搬送するように構成され、発射システムを所望の高度に推進するための固体ロケット推進システムをさらに含む。キャリア飛行体は所望の高度で所定の前進速度を提供するように構成され、所定の全身速度は設計亜音速巡航速度に相関している。キャリア飛行体は、所望の高度および所定の前進速度で、キャリア飛行体に対してペイロード飛行体を解放するように構成されている。設計亜音速巡航速度は、０．７マッハ数未満であり、所望の高度は、３ｋｍよりも大きい。【選択図】図１,"Peleg, Eyal; Valency, Tomel; Barboy, Iran",Israel Aerospace Industries Limited,2019-08-14
JP5116966B2,JP,2013-01-09,ガソリン,"PROBLEM TO BE SOLVED: To provide gasoline which contains a biomass-derived base from the viewpoint of regenerability and global warming prevention and is excellent in the easiness of exhaust gas cleaning, fuel consumption, and engine operation performance.  SOLUTION: Provided is gasoline which has a research octane number of 89.0 to below 96.0 and a sulfur content of 10 mass ppm or lower and is characterized by containing a base at least partially consisting of a fraction obtained by treating a feedstock oil mixed with biomass or with biomass and a mineral oil by fluidized catalytic cracking and having a distillation temperature range of from 25 to 220°C.  COPYRIGHT: (C)2007,JPO&INPIT",Takashi Kaneko; Masanori Hirose,"jx Nikko Nisseki Energy Co., Ltd.",2005-11-30
JP2021506539A,JP,2021-02-22,広域火災を抑制するための耐火性空中機,【解決手段】 軽量で耐衝撃性のあるセラミックマトリックス複合体を備えた、断熱性および耐炎性を備え、断熱材を取り付けられた、同心の二重船体、耐損傷性の機体車両二重クラッドであって、内部胴体領域の35℃から1350℃までの熱的保護を、極端な熱環境内で長期間にわたって行うことができ、半または完全に自律的な車両、有人または無人とすることができ、好ましくは、発射環境を出ることなく、火炎に対して圧力波を繰り返し放出することにより火炎を抑制又は消火するように設計された無人空中機が提供される。【選択図】 図１,"Thomas, Michael S.","Adaptive Global Solutions, LLC",2018-12-14
JPH10500983A,JP,1998-01-27,【発明の名称】化合物、組成物および用途,"PCT No. PCT/GB95/01206 Sec. 371 Date Dec. 9, 1996 Sec. 102(e) Date Dec. 9, 1996 PCT Filed May 26, 1995 PCT Pub. No. WO95/33754 PCT Pub. Date Dec. 14, 1995A method for the protection of a medium by susceptible to microbial attack by the treatment of the medium with an oxaborale or a salt of an oxaborale.","Austin, Peter William; Neil, Christopher Juan; Crawley, Patrick Jeruf; Clough, John Martin",Zeneca Limited,1995-05-26
JP2022508711A,JP,2022-01-19,ナノグラファイトスポンジおよびその製造方法,本開示は、ナノグラファイトスポンジ（ＮＧＳ）およびナノグラファイトスポンジを調製するための方法を提供する。開示されたナノグラファイトスポンジは、大きな表面積および細孔容積、低質量密度、良好な導電率および機械的特性を含む、多くの優れた特性を有する。これらの優れた特性により、ナノグラファイトスポンジは、バッテリーおよびスーパーキャパシターの電極、燃料電池や太陽電池、触媒や触媒担体、センサーなど、多くの用途に望ましい材料となっている。,"Nosker, Thomas, Jay.; Kia, Bernard, H.; He, Nofel, Tuhia; Lynch-Branzoy, Jennifer, Kay.; Tebetia, Aya, Shin","Rutgers, The State University of New Jersey",2019-10-15
JP2020531349A,JP,2020-11-05,鉄道資産を検査するための無人航空機システム,空中システム制御ネットワーク（２５００）、無人航空機（ＵＡＶ）システム（２４００）及び方法（２６００）は、ＵＡＶ（２４２０）を使用して鉄道資産を検査することを提供する。空中システム制御ネットワークは、複数の塔（２５１０、２５１５）と、複数の通信塔に接続された地上制御システム（２５２０）とを含む。地上制御システムは、複数の通信塔を介して、鉄道路線（１００）及び飛行経路（１０１０）を含む飛行計画を送信し、複数の通信塔を介して、ＵＡＶが鉄道路線をモニタしている間にデータを受信し、受信されたデータに基づいて飛行経路に沿って障害（１５００、１５０１、１５０２）を検出し、且つ障害に基づいて飛行計画を調整する。,"Greets, Todd; Grisam, Gerry; Mishke, Michael",BNSF RAILWAY COMPANY,2018-08-15
JP7205030B2,JP,2023-01-17,酸素含有の再生可能な油をアップグレーディングするプロセス,"The invention relates to producing upgraded renewable oil. Renewable crude oil is provided whose oxygen content, water content, and total acid number are within predetermined ranges. Respective fractions of the oil have boiling points below 350° C. and above 450° C. After the oil is pressurized, and hydrogen is added, the mixture is heated and contacted with a heterogeneous catalyst in a first reaction zone with weight based hourly space velocity (WHSV) of 0.1 to 1 h-1. The resultant partially hydrogenated and deoxygenated oil is further heated and contacted with a heterogeneous catalyst in a second reaction zone at WHSV of 0.1 to 1.5 h-1. Low and high boiling point liquid hydrocarbon fractions of the product of the second reaction zone are sent to third and fourth reaction zones, respectively, to be contacted with hydrogen and a heterogeneous catalyst under respective heating conditions and WHSV of 0.1 to 1 h-1.","Iversen, Steen Bee.; Jensen, Klaus Uhlenholt; Rodriguez Guerrero, Julie Catherine",Stepper Energy ASP,2019-01-10
JP2010511922A,JP,2010-04-15,対象物を輸送する方法、輸送システム、及び輸送手段,"The invention relates to a method for transporting physical objects, wherein at least one physical object is transported from a sending station to a receiving station, wherein the transport occurs through at least one physical router, wherein the physical router executes a decision about further parameters of transport to another physical router or to the receiving station.  The method is carried out in that a central control computer receives information for handling and moving the physical objects and that the central control computer influences supplies for transport means and/or the transport means according to environmental data.","Martin, Wegner; Ulrich, Caith; Michael, Lomeier",Deutsche Post Age,2007-08-06
JP2014530321A,JP,2014-11-17,風力エネルギータービンシェルステーション,ＷＥＴＳＳ（風力エネルギータービンシェルステーション）は、超高層シェル状フレーム構造であり、高い高度で風の運動エネルギーを収集する複数の小型の風力タービンを支持し、電力さらには水素を生成し、燃料電池の需要に合致する電力を生成するために水素を保管する。ＷＥＴＳＳの典型的な幅に対する高さの比は４−１０、厚さ８−２５ｍ（地震地域によって異なる）である。風速６ｍ／秒（２１.６ｋｍ／ｈ）と仮定すると、典型的な高さが１０００−２０００ｍ、直径２００−５００ｍ、非定常電力の実容量が１８７ＭＷ−３．７５ＧＷ、電力需要に合致した５０ＭＷ−１ＧＷ。典型的なＷＥＴＳＳでは、現在の実用的な風力タービンで必要である平均的な土地の約１／５００が必要である。ＷＥＴＳＳは、典型的には標準及び高降伏鋼から成る。ＷＥＴＳＳは、シェル形状を有しており階数が少なく荷重が小さいため、同様の大きさである従来の鋼の建造物の約２％の重さであり、耐震及び耐風力設計が比較的簡易である。ＷＥＴＳＳは、風力エネルギーを地球上で最も安価なエネルギーにして、静かで鳥に安全で需要に合致したものにする。【選択図】 図２,ヘイサム，  ヤクブ; リマ，  ゴーセン,ヘイサム，  ヤクブＨＡＩＳＡＭ，Ｙａｋｏｕｂ,2012-10-09
JP2009535449A,JP,2009-10-01,バイオ燃料組成物およびバイオ燃料の製造方法,"An emulsified biofuel composition comprising: (A) a continuous phase comprising about 50-95 wt % of at least one liquid oil of vegetable or animal origin or mixtures thereof; (B) a water-containing dispersed phase comprising about 1-50 wt % water; (C) about 1-25 wt % of hydroxyl-containing organic compound selected from the group consisting of mono-, di-, tri- and polyhydric alcohols, provided that when a monohydric alcohol is used there is also present at least one of tert-butyl alcohol, at least one C2-C4 alkylene glycol or a mixture of both; (D) about 0.05-10 wt % of at least one emulsifier; wherein the dispersed water-containing droplets have an average particle size of less than about 20 microns. The biofuel is prepared from these components by mixing under high shear conditions, preferably with ultrasonic energy. The emulsifier(s) preferably exhibit a hydrophilic-lipophilic balance of about 8.5 to about 18 and the biofuel includes a cetane enhancer and mixture of an alcohol and mono- or poly-alkylene glycol.","Petrucci, Ferdinand; Festuccia, Andrea","New Generation Biofuels, Incorporated; PJ Bio Energy Holding Limited",2007-04-10
JP2022502316A,JP,2022-01-11,航空機原動機システム、運用および使用,本発明は、極低温推進源と燃焼推進源とを備え、極低温推進源および燃焼推進源は、航空機の推進力を発生させるために選択的および独立的に作動可能であるマルチソース航空機推進装置に関する。【選択図】図５,"Taylor, Simon",GK N Aerospace Services Limited,2019-10-15
JP4705732B2,JP,2011-06-22,航空機用ガスタービン・エンジンのサージ検出装置,,Yukinobu Sugitani,Honda motor industry stock company,2001-05-23
